name,room,address,city,state,zipCode,latitude,longitude,isEarlyVotingLocation,isVotingDayLocation
Skillman Southwestern Branch Library,Auditorium,5707 Skillman St,Dallas,TX,75206,32.85774785,-96.75644411,FALSE,TRUE
Henry W Longfellow - Cea,Auditorium,5314 Boaz St,Dallas,TX,75209,32.84855225,-96.8197467,FALSE,TRUE
Mockingbird Community Church,Community Rm,5470 Ellsworth Ave,Dallas,TX,75206,32.83336495,-96.77492009,FALSE,TRUE
Zion Lutheran Church,Church Narthex,6121 E Lovers Ln,Dallas,TX,75214,32.85099,-96.769994,FALSE,TRUE
Geneva Heights Elementary,Main Lobby,2911 Delmar Ave,Dallas,TX,75206,32.82437795,-96.7668787,FALSE,TRUE
St Andrews Presbyterian Church,Nance Hall,3204 Skillman St,Dallas,TX,75206,32.82710984,-96.76146,FALSE,TRUE
University Of Texas - Dallas,Vistiors Center,800 W Campbell Rd,Richardson,TX,75080,32.978321,-96.763866,FALSE,TRUE
Parkhill Jr High School,Small Gym,16500 Shadybank Dr,Dallas,TX,75248,32.9737763,-96.79050128,FALSE,TRUE
Brentfield Primary School,East Cafeteria,6767 Brentfield Dr,Dallas,TX,75248,32.9756565,-96.79211139,FALSE,TRUE
Texas A&M Research Ext Ctr Bldg E,Water/Land Resources Bldg,17360 Coit Rd,Dallas,TX,75252,32.9869079,-96.7674521,FALSE,TRUE
James Bowie Elem School - RISD,Gym,7643 La Manga Dr,Dallas,TX,75248,32.9711006,-96.7762919,FALSE,TRUE
Prestonwood Elem School,Cafeteria Stage,6525 La Cosa Dr,Dallas,TX,75248,32.96025515,-96.795006,FALSE,TRUE
Spring Creek Elem - RISD,Gym,7667 Roundrock Rd,Dallas,TX,75248,32.95661505,-96.7768227,FALSE,TRUE
Fretz Park Library,Black Box Theater,6990 Belt Line Rd,Dallas,TX,75254,32.9495865,-96.78326976,FALSE,TRUE
Audelia Road Branch Library,Auditorium,10045 Audelia Rd,Dallas,TX,75238,32.8857486,-96.71834737,FALSE,TRUE
Northlake Elem Sch - RISD,Cafeteria Hallway,10059 Ravensway Dr,Dallas,TX,75238,32.8853782,-96.72012438,FALSE,TRUE
Lake Highlands Elem School,Library,9501 Ferndale Rd,Dallas,TX,75238,32.87627525,-96.70953139,FALSE,TRUE
Lake Highlands Jr High,Large Gym,10301 Walnut Hill Ln,Dallas,TX,75238,32.88000445,-96.70671988,FALSE,TRUE
Wallace Elem School - RISD,Gym,9921 Kirkhaven Dr,Dallas,TX,75238,32.88396655,-96.70816205,FALSE,TRUE
Robert T. Hill Middle School,Auditorium,505 Easton Rd,Dallas,TX,75218,32.8563901,-96.70475452,FALSE,TRUE
Victor Hexter Elem School,Auditorium,9720 Waterview Rd,Dallas,TX,75218,32.84923465,-96.70961329,FALSE,TRUE
Lake Highlands North Rec Ctr,Small Rm,9940 White Rock Trl,Dallas,TX,75238,32.88361632,-96.7300232,FALSE,TRUE
L L Hotchkiss Elem School,Auditorium Foyer,6929 Town North Dr,Dallas,TX,75231,32.85842255,-96.74069997,FALSE,TRUE
Dan D Rogers Elem School,Auditorium Foyer,5314 Abrams Rd,Dallas,TX,75214,32.85213315,-96.75168597,FALSE,TRUE
Ridgewood Rec Center,Large Rm,6818 Fisher Rd,Dallas,TX,75214,32.8475741,-96.7430511,FALSE,TRUE
Lakewood Elem School,Library,3000 Hillbrook St,Dallas,TX,75214,32.825643,-96.74346693,FALSE,TRUE
Churchill Recreation Center,Large Room,6906 Churchill Way,Dallas,TX,75230,32.9164699,-96.78575627,FALSE,TRUE
Anne Frank Elem School,Auditorium,5201 Celestial Rd,Dallas,TX,75254,32.9477841,-96.81802509,FALSE,TRUE
